	Time: 2137s
	VBAT_A: 7.42 V
	VBAT_B: 7.46 V
	Reboot to normal: 48
	3V3 Current: 42 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.62 C
	Temp B: 4.38 C
	Time: 1989s
	VBAT_A: 7.44 V
	VBAT_B: 7.48 V
	Reboot to normal: 47
	3V3 Current: 49 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 5.06 C
	Temp B: 4.81 C
	Time: 2180s
	VBAT_A: 7.44 V
	VBAT_B: 7.48 V
	Reboot to normal: 48
	3V3 Current: 30 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.50 C
	Temp B: 4.31 C
	Time: 1968s
	VBAT_A: 7.45 V
	VBAT_B: 7.48 V
	Reboot to normal: 47
	3V3 Current: 42 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 5.12 C
	Temp B: 4.88 C
	Time: 2310s
	VBAT_A: 7.52 V
	VBAT_B: 7.56 V
	Reboot to normal: 48
	3V3 Current: 40 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.38 C
	Temp B: 4.12 C
	Time: 2353s
	VBAT_A: 7.53 V
	VBAT_B: 7.56 V
	Reboot to normal: 48
	3V3 Current: 61 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.38 C
	Temp B: 4.19 C
	Time: 2332s
	VBAT_A: 7.59 V
	VBAT_B: 7.63 V
	Reboot to normal: 48
	3V3 Current: 30 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.38 C
	Temp B: 4.12 C
	Time: 2115s
	VBAT_A: 7.45 V
	VBAT_B: 7.47 V
	Reboot to normal: 48
	3V3 Current: 26 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.69 C
	Temp B: 4.44 C
	Time: 2052s
	VBAT_A: 7.44 V
	VBAT_B: 7.47 V
	Reboot to normal: 48
	3V3 Current: 26 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.88 C
	Temp B: 4.62 C
	Time: 2073s
	VBAT_A: 7.44 V
	VBAT_B: 7.47 V
	Reboot to normal: 48
	3V3 Current: 40 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.81 C
	Temp B: 4.56 C
	Time: 2201s
	VBAT_A: 7.44 V
	VBAT_B: 7.46 V
	Reboot to normal: 48
	3V3 Current: 52 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.50 C
	Temp B: 4.25 C
	Time: 2094s
	VBAT_A: 7.44 V
	VBAT_B: 7.47 V
	Reboot to normal: 48
	3V3 Current: 56 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.75 C
	Temp B: 4.50 C
	Time: 2222s
	VBAT_A: 7.47 V
	VBAT_B: 7.51 V
	Reboot to normal: 48
	3V3 Current: 26 mA
	5V Current: 7 mA
	Vbat Current: 38 mA
	Temp A: 4.44 C
	Temp B: 4.19 C
	Time: 2030s
	VBAT_A: 7.44 V
	VBAT_B: 7.47 V
	Reboot to normal: 48
	3V3 Current: 61 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 4.94 C
	Temp B: 4.62 C
DelayRebootSuccessFrame: CID=010 Seq=00
