	Time: 5193s
	VBAT_A: 7.50 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 47 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.06 C
	Temp B: 7.75 C
	Time: 5300s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 42 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.56 C
	Temp B: 7.25 C
	Time: 5256s
	VBAT_A: 7.50 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 59 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.75 C
	Temp B: 7.44 C
	Time: 5620s
	VBAT_A: 7.48 V
	VBAT_B: 7.51 V
	Reboot to normal: 48
	3V3 Current: 28 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.00 C
	Temp B: 5.69 C
	Time: 5641s
	VBAT_A: 7.48 V
	VBAT_B: 7.51 V
	Reboot to normal: 48
	3V3 Current: 54 mA
	5V Current: 7 mA
	Vbat Current: 38 mA
	Temp A: 5.88 C
	Temp B: 5.56 C
	Time: 5536s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 47 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.44 C
	Temp B: 6.06 C
	Time: 5342s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 61 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.38 C
	Temp B: 7.06 C
	Time: 5579s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 30 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.19 C
	Temp B: 5.88 C
	Time: 5706s
	VBAT_A: 7.47 V
	VBAT_B: 7.51 V
	Reboot to normal: 48
	3V3 Current: 26 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 5.56 C
	Temp B: 5.19 C
	Time: 5215s
	VBAT_A: 7.50 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 59 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.94 C
	Temp B: 7.62 C
	Time: 5494s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 49 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.62 C
	Temp B: 6.31 C
	Time: 5407s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 42 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.06 C
	Temp B: 6.69 C
	Time: 5321s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 40 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.44 C
	Temp B: 7.12 C
	Time: 5685s
	VBAT_A: 7.47 V
	VBAT_B: 7.51 V
	Reboot to normal: 48
	3V3 Current: 56 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 5.69 C
	Temp B: 5.31 C
	Time: 5363s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 21 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.25 C
	Temp B: 6.94 C
	Time: 5558s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 28 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.31 C
	Temp B: 6.00 C
	Time: 5473s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 26 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.75 C
	Temp B: 6.38 C
	Time: 5515s
	VBAT_A: 7.48 V
	VBAT_B: 7.52 V
	Reboot to normal: 48
	3V3 Current: 59 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 6.50 C
	Temp B: 6.19 C
	Time: 5727s
	VBAT_A: 7.47 V
	VBAT_B: 7.51 V
	Reboot to normal: 48
	3V3 Current: 33 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 5.44 C
	Temp B: 5.12 C
DelayRebootSuccessFrame: CID=010 Seq=00
