	Time: 5520s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 61 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.06 C
	Temp B: 7.75 C
	Time: 5283s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 45
	3V3 Current: 49 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 9.25 C
	Temp B: 8.94 C
	Time: 5350s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 45
	3V3 Current: 28 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.94 C
	Temp B: 8.62 C
	Time: 5434s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 61 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.50 C
	Temp B: 8.19 C
	Time: 5563s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 56 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 7.81 C
	Temp B: 7.50 C
	Time: 5476s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 61 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.31 C
	Temp B: 7.94 C
	Time: 5413s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 47 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.62 C
	Temp B: 8.31 C
	Time: 5308s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 45
	3V3 Current: 33 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 9.12 C
	Temp B: 8.81 C
	Time: 5391s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 54 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.75 C
	Temp B: 8.38 C
	Time: 5455s
	VBAT_A: 7.46 V
	VBAT_B: 7.50 V
	Reboot to normal: 48
	3V3 Current: 33 mA
	5V Current: 7 mA
	Vbat Current: 40 mA
	Temp A: 8.38 C
	Temp B: 8.06 C
DelayRebootSuccessFrame: CID=010 Seq=00
